Title,Company,Location,Link,Country,Source,Title_Clean,Job_Category
Artificial Intelligence Engineer (NLP),"DIRAC SYSTEMS - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/internship/z3Gza8M97sRJ-Artificial-Intelligence-Engineer-NLP-DIRAC-SYSTEMS-Cairo-Egypt,Egypt,Wuzzuf,artificial intelligence engineer (nlp),AI Engineer
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 days ago","Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Middle East,Wuzzuf,senior ai engineer,AI Engineer
Senior AI Vision Engineer – Computer Vision & Edge Deployment,"Skarpt Company  - 6th of October, Giza, Egypt 18 days ago","6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/o7GZBxQzGrAB-Senior-AI-Vision-Engineer-–-Computer-Vision-Edge-Deployment-Skarpt-Company-Giza-Egypt,Middle East,Wuzzuf,senior ai vision engineer – computer vision & edge deployment,Computer Vision Engineer
AI Trainer.,"Avanguard - New Cairo, Cairo, Egypt 19 days ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/cyKxYLTtPjPa-AI-Trainer-Avanguard-Cairo-Egypt,Egypt,Wuzzuf,ai trainer.,Other AI/ML Role
AI Agent Developer,"Confidential - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/p/TQgoUs39mfEx-AI-Agent-Developer-Cairo-Egypt,Egypt,Wuzzuf,ai agent developer,Other AI/ML Role
AI Prompt and Business Integrator - Full Time Remotely,"Confidential - Sidi Bishr, Alexandria, Egypt 1 month ago","Sidi Bishr, Alexandria, Egypt",https://wuzzuf.net/jobs/p/vj7GkAqulqu5-AI-Prompt-and-Business-Integrator---Full-Time-Remotely-Alexandria-Egypt,Middle East,Wuzzuf,ai prompt and business integrator - full time remotely,Other AI/ML Role
"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD","Trilogy - Dubai, United Arab Emirates 8 hours ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/jdvewrdwhogn-artificial-intelligence-engineer-ignitetech-remote---100000year-usd-trilogy-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,"artificial intelligence engineer, ignitetech (remote) - $100,000/year usd",AI Engineer
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)","Confidential - New Cairo, Cairo, Egypt 1 month ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/SOdCYd7kmpc4-Full-Stack-AI-Tool-Developer-React-Nextjs-PostgreSQL-AWS-Lambda-Cairo-Egypt,Egypt,Wuzzuf,"full-stack ai tool developer (react, next.js, postgresql, aws lambda)",Other AI/ML Role
Research Scientist (AI) - Interactome,"GenBio AI - Dubai, United Arab Emirates 4 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/erptsjic5i49-research-scientist-ai---interactome-genbio-ai-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,research scientist (ai) - interactome,Research Scientist
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 days ago","Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Middle East,Wuzzuf,senior ai engineer,AI Engineer
AI Agent Developer,"Confidential - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/p/TQgoUs39mfEx-AI-Agent-Developer-Cairo-Egypt,Egypt,Wuzzuf,ai agent developer,Other AI/ML Role
Senior AI Vision Engineer – Computer Vision & Edge Deployment,"Skarpt Company  - 6th of October, Giza, Egypt 18 days ago","6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/o7GZBxQzGrAB-Senior-AI-Vision-Engineer-–-Computer-Vision-Edge-Deployment-Skarpt-Company-Giza-Egypt,Middle East,Wuzzuf,senior ai vision engineer – computer vision & edge deployment,Computer Vision Engineer
Artificial Intelligence Engineer (NLP),"DIRAC SYSTEMS - Heliopolis, Cairo, Egypt 21 days ago","Heliopolis, Cairo, Egypt",https://wuzzuf.net/internship/z3Gza8M97sRJ-Artificial-Intelligence-Engineer-NLP-DIRAC-SYSTEMS-Cairo-Egypt,Egypt,Wuzzuf,artificial intelligence engineer (nlp),AI Engineer
AI Trainer.,"Avanguard - New Cairo, Cairo, Egypt 19 days ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/cyKxYLTtPjPa-AI-Trainer-Avanguard-Cairo-Egypt,Egypt,Wuzzuf,ai trainer.,Other AI/ML Role
Fresh Electrical PLC & Planning Maintenace Engineer,"Modern Hygienic international - Ain Sokhna, Suez, Egypt 4 days ago","Ain Sokhna, Suez, Egypt",https://wuzzuf.net/jobs/p/1xqbr0j7hc7z-fresh-electrical-plc-planning-maintenace-engineer-modern-hygienic-international-suez-egypt,Middle East,Wuzzuf,fresh electrical plc & planning maintenace engineer,Other AI/ML Role
AI Engineer,"Quantanite - Maadi, Cairo, Egypt 1 month ago","Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/iEshzfRXs8Sv-AI-Engineer-Quantanite-Cairo-Egypt,Egypt,Wuzzuf,ai engineer,AI Engineer
AI Solutions Architect,"Get AI Driven - Cairo, Egypt 1 month ago","Cairo, Egypt",https://wuzzuf.net/jobs/p/NvNlX163ebd3-AI-Solutions-Architect-Get-AI-Driven-Cairo-Egypt,Egypt,Wuzzuf,ai solutions architect,Other AI/ML Role
AI & Software Trainer,"compsoft - Giza, Egypt 2 months ago","Giza, Egypt",https://wuzzuf.net/jobs/p/SwXxBD69AgT5-AI-Software-Trainer-compsoft-Giza-Egypt,Middle East,Wuzzuf,ai & software trainer,Other AI/ML Role
Research Scientist (AI) - Interactome,"GenBio AI - Dubai, United Arab Emirates 4 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/erptsjic5i49-research-scientist-ai---interactome-genbio-ai-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,research scientist (ai) - interactome,Research Scientist
"Senior Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey - Riyadh, Saudi Arabia 2 days ago","Riyadh, Saudi Arabia",https://wuzzuf.net/jobs/p/g/2xw0y7nwumg0-senior-data-scientist---quantumblack-ai-by-mckinsey-quantumblack-ai-by-mckinsey-riyadh-saudi-arabia,Saudi Arabia,Wuzzuf,"senior data scientist - quantumblack, ai by mckinsey",Data Scientist
Data Scientist,"HYVE Technology Consulting  - Cairo, Egypt 25 days ago","Cairo, Egypt",https://wuzzuf.net/jobs/p/9cSyIMzlasgg-Data-Scientist-HYVE-Technology-Consulting-Cairo-Egypt,Egypt,Wuzzuf,data scientist,Data Scientist
"Senior Data Scientist - QuantumBlack, AI by McKinsey","QuantumBlack, AI by McKinsey - Riyadh, Saudi Arabia 2 days ago","Riyadh, Saudi Arabia",https://wuzzuf.net/jobs/p/g/2xw0y7nwumg0-senior-data-scientist---quantumblack-ai-by-mckinsey-quantumblack-ai-by-mckinsey-riyadh-saudi-arabia,Saudi Arabia,Wuzzuf,"senior data scientist - quantumblack, ai by mckinsey",Data Scientist
"Data Scientist II - Analysis, Lifecycle","talabat - Dubai, United Arab Emirates 18 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/k7xA6fsKSk11-Data-Scientist-II---Analysis-Lifecycle-talabat-Dubai-United-Arab-Emirates,United Arab Emirates,Wuzzuf,"data scientist ii - analysis, lifecycle",Data Scientist
"Data Scientist, Business","The Rundown AI - Dubai, United Arab Emirates 20 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/6ghDEc184o5h-Data-Scientist-Business-The-Rundown-AI-Dubai-United-Arab-Emirates,United Arab Emirates,Wuzzuf,"data scientist, business",Data Scientist
Senior Data Engineer,"Erada - Maadi, Cairo, Egypt 11 days ago","Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/hZSom9fVxXVe-Senior-Data-Engineer-Erada-Cairo-Egypt,Egypt,Wuzzuf,senior data engineer,Data Engineer
Data Engineer,"HYVE Technology Consulting  - Cairo, Egypt 25 days ago","Cairo, Egypt",https://wuzzuf.net/jobs/p/bBVD1SDdlEN8-Data-Engineer-HYVE-Technology-Consulting-Cairo-Egypt,Egypt,Wuzzuf,data engineer,Data Engineer
Research Scientist (AI) - Interactome,"GenBio AI - Dubai, United Arab Emirates 4 days ago","Dubai, United Arab Emirates",https://wuzzuf.net/jobs/p/g/erptsjic5i49-research-scientist-ai---interactome-genbio-ai-dubai-united-arab-emirates,United Arab Emirates,Wuzzuf,research scientist (ai) - interactome,Research Scientist
Senior AI Engineer,"COB Solution  - Maadi, Cairo, Egypt 24 hours ago","Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/dcstliwbbjqz-senior-ai-engineer-cob-solution-cairo-egypt,Egypt,Wuzzuf,senior ai engineer,AI Engineer
Senior AI Engineer,"Lumin - Sheikh Zayed, Giza, Egypt 2 days ago","Sheikh Zayed, Giza, Egypt",https://wuzzuf.net/jobs/p/jQuD5uCDAOds-Senior-AI-Engineer-Lumin-Giza-Egypt,Middle East,Wuzzuf,senior ai engineer,AI Engineer
AI Engineering Manager,"Link Development - Cairo, Egypt 24 days ago","Cairo, Egypt",https://wuzzuf.net/jobs/p/HLmOXiA6ce45-AI-Engineering-Manager-Link-Development-Cairo-Egypt,Egypt,Wuzzuf,ai engineering manager,AI Engineer
AI Trainer.,"Avanguard - New Cairo, Cairo, Egypt 19 days ago","New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/cyKxYLTtPjPa-AI-Trainer-Avanguard-Cairo-Egypt,Egypt,Wuzzuf,ai trainer.,Other AI/ML Role
